screen_name,url,account,user_id
New York Times,https://twitter.com/nytimes,nytimes,807095
The Sun,https://twitter.com/thesun,thesun,34655603
The Times,https://twitter.com/thetimes,thetimes,6107422
The Associated Press,https://twitter.com/ap,ap,51241574
CNN,https://twitter.com/cnn,cnn,759251
BBC NEWS,https://twitter.com/bbcnews,bbcnews,612473
CNET,https://twitter.com/cnet,cnet,30261067
MSN UK,https://twitter.com/msnuk,msnuk,14684826
Telegraph,https://twitter.com/telegraph,telegraph,16343974
USAToday,https://twitter.com/usatoday,usatoday,15754281
Wall Street Journal,https://twitter.com/wsj,wsj,3108351
Washington Post,https://twitter.com/washingtonpost,washingtonpost,2467791
Boston Globe,https://twitter.com/bostonglobe,bostonglobe,95431448
NEWS.com.au,https://twitter.com/newscomauhq,newscomauhq,15250661
Sky News,https://twitter.com/skynews,skynews,7587032
SFGate,https://twitter.com/sfgate,sfgate,36511031
Al-Jazeera,https://twitter.com/ajenglish,ajenglish,4970411
"Independent, UK",https://twitter.com/independent,independent,16973333
Guardian.co.uk,https://twitter.com/guardian,guardian,87818409
LA Times,https://twitter.com/latimes,latimes,16664681
Reuters,https://twitter.com/reutersagency,reutersagency,356521068
ABC News,https://twitter.com/abc,abc,28785486
Bloomberg,https://twitter.com/bloomberg,bloomberg,104237736
Business Week,https://twitter.com/bw,bw,67358777
Time,https://twitter.com/time,time,14293310
